day,shift,courier_id,job,stops,route_time,spr,sporh
1,MORNING,5,STAFF,16,146,16.0,394.5205479452055
1,MORNING,13,STAFF,20,160,20.0,450.0
1,MORNING,25,STAFF,21,150,21.0,504.0
1,MORNING,38,STAFF,21,150,21.0,504.0
1,MORNING,6,STAFF,22,153,22.0,517.6470588235294
1,MORNING,59,SUB_CON,21,176,21.0,429.5454545454545
1,MORNING,40,STAFF,22,132,22.0,600.0
1,MORNING,46,SUB_CON,22,148,22.0,535.1351351351351
1,MORNING,27,SUB_CON,22,150,22.0,528.0
1,MORNING,30,STAFF,23,140,23.0,591.4285714285714
1,MORNING,19,STAFF,23,156,23.0,530.7692307692307
1,MORNING,27,STAFF,22,135,22.0,586.6666666666667
1,MORNING,1,STAFF,23,177,23.0,467.79661016949154
1,MORNING,35,STAFF,22,178,22.0,444.9438202247191
1,MORNING,29,STAFF,23,128,23.0,646.875
1,MORNING,15,STAFF,23,164,23.0,504.8780487804878
1,MORNING,46,STAFF,24,158,24.0,546.8354430379748
1,MORNING,21,STAFF,24,167,24.0,517.3652694610778
1,MORNING,0,NPI,24,144,24.0,600.0
1,MORNING,17,STAFF,24,122,24.0,708.1967213114754
1,AFTERNOON,33,STAFF,19,149,19.0,459.0604026845637
1,AFTERNOON,27,STAFF,20,146,20.0,493.1506849315069
1,AFTERNOON,25,STAFF,20,136,20.0,529.4117647058823
1,AFTERNOON,19,STAFF,21,163,21.0,463.8036809815951
1,AFTERNOON,12,STAFF,21,158,21.0,478.4810126582279
1,AFTERNOON,9,STAFF,21,164,21.0,460.9756097560975
1,AFTERNOON,37,STAFF,21,134,21.0,564.179104477612
1,AFTERNOON,67,SUB_CON,21,172,21.0,439.5348837209302
1,AFTERNOON,34,STAFF,21,175,21.0,432.0
1,AFTERNOON,30,SUB_CON,22,161,22.0,491.92546583850935
1,AFTERNOON,20,NPI,21,150,21.0,504.0
1,AFTERNOON,7,STAFF,22,124,22.0,638.7096774193549
1,AFTERNOON,49,STAFF,22,165,22.0,480.00000000000006
1,AFTERNOON,6,STAFF,23,158,23.0,524.0506329113924
1,AFTERNOON,2,STAFF,23,155,23.0,534.1935483870968
1,AFTERNOON,46,STAFF,22,135,22.0,586.6666666666667
1,AFTERNOON,8,SUB_CON,23,165,23.0,501.81818181818187
1,AFTERNOON,40,STAFF,23,160,23.0,517.5
1,AFTERNOON,36,STAFF,22,149,22.0,531.5436241610738
1,AFTERNOON,26,STAFF,23,157,23.0,527.3885350318471
1,AFTERNOON,41,STAFF,23,155,23.0,534.1935483870968
1,AFTERNOON,22,STAFF,24,143,24.0,604.1958041958042
1,AFTERNOON,20,STAFF,24,157,24.0,550.3184713375796
1,AFTERNOON,52,SUB_CON,23,128,23.0,646.875
1,AFTERNOON,44,SUB_CON,24,128,24.0,675.0
1,AFTERNOON,35,STAFF,24,150,24.0,576.0
1,AFTERNOON,32,STAFF,24,160,24.0,540.0
1,AFTERNOON,48,STAFF,24,179,24.0,482.68156424581
1,AFTERNOON,15,STAFF,24,156,24.0,553.8461538461538
1,AFTERNOON,42,STAFF,24,174,24.0,496.55172413793105
1,AFTERNOON,62,SUB_CON,24,157,24.0,550.3184713375796
1,AFTERNOON,45,STAFF,25,128,25.0,703.125
1,AFTERNOON,39,STAFF,25,121,25.0,743.801652892562
1,OVERTIME,7,NPI,11,145,11.0,273.10344827586204
1,OVERTIME,4,NPI,12,160,12.0,270.0
1,OVERTIME,5,NPI,14,153,14.0,329.4117647058823
1,OVERTIME,15,NPI,16,142,16.0,405.63380281690144
1,OVERTIME,0,NPI,16,157,16.0,366.8789808917197
1,OVERTIME,18,NPI,16,141,16.0,408.51063829787233
1,OVERTIME,14,NPI,16,153,16.0,376.4705882352941
1,OVERTIME,11,NPI,17,139,17.0,440.28776978417267
1,OVERTIME,17,NPI,18,145,18.0,446.8965517241379
1,OVERTIME,10,NPI,18,135,18.0,480.0
1,OVERTIME,9,NPI,20,133,20.0,541.3533834586466
1,OVERTIME,16,NPI,20,174,20.0,413.7931034482759
1,OVERTIME,2,NPI,19,145,19.0,471.7241379310345
1,OVERTIME,3,NPI,20,160,20.0,450.0
1,OVERTIME,1,NPI,20,173,20.0,416.1849710982659
2,MORNING,7,STAFF,18,177,18.0,366.10169491525426
2,MORNING,34,STAFF,19,135,19.0,506.6666666666667
2,MORNING,22,STAFF,20,125,20.0,576.0
2,MORNING,20,STAFF,19,122,19.0,560.655737704918
2,MORNING,9,STAFF,20,162,20.0,444.44444444444446
2,MORNING,5,STAFF,20,176,20.0,409.09090909090907
2,MORNING,33,SUB_CON,22,134,22.0,591.0447761194031
2,MORNING,25,STAFF,21,141,21.0,536.1702127659574
2,MORNING,14,STAFF,22,167,22.0,474.251497005988
2,MORNING,8,STAFF,21,174,21.0,434.48275862068965
2,MORNING,35,STAFF,22,175,22.0,452.57142857142856
2,MORNING,26,STAFF,22,155,22.0,510.9677419354839
2,MORNING,0,SUB_CON,22,150,22.0,528.0
2,MORNING,10,STAFF,23,135,23.0,613.3333333333334
2,MORNING,3,STAFF,23,150,23.0,552.0
2,MORNING,38,STAFF,24,122,24.0,708.1967213114754
2,MORNING,40,STAFF,24,156,24.0,553.8461538461538
2,MORNING,2,STAFF,24,124,24.0,696.7741935483871
2,MORNING,49,STAFF,24,136,24.0,635.2941176470588
2,MORNING,20,SUB_CON,24,131,24.0,659.5419847328244
2,MORNING,19,STAFF,24,124,24.0,696.7741935483871
2,MORNING,18,STAFF,24,174,24.0,496.55172413793105
2,MORNING,45,SUB_CON,24,166,24.0,520.4819277108434
2,AFTERNOON,47,STAFF,17,164,17.0,373.17073170731703
2,AFTERNOON,33,STAFF,17,154,17.0,397.4025974025974
2,AFTERNOON,10,STAFF,18,126,18.0,514.2857142857142
2,AFTERNOON,4,STAFF,19,141,19.0,485.1063829787234
2,AFTERNOON,41,STAFF,20,141,20.0,510.6382978723404
2,AFTERNOON,42,STAFF,20,144,20.0,500.0
2,AFTERNOON,6,STAFF,20,124,20.0,580.6451612903226
2,AFTERNOON,18,STAFF,20,161,20.0,447.2049689440994
2,AFTERNOON,14,STAFF,20,163,20.0,441.7177914110429
2,AFTERNOON,9,STAFF,21,139,21.0,543.884892086331
2,AFTERNOON,46,STAFF,22,122,22.0,649.1803278688524
2,AFTERNOON,30,STAFF,23,164,23.0,504.8780487804878
2,AFTERNOON,15,STAFF,22,132,22.0,600.0
2,AFTERNOON,40,STAFF,22,125,22.0,633.6
2,AFTERNOON,8,STAFF,23,151,23.0,548.3443708609271
2,AFTERNOON,35,STAFF,24,146,24.0,591.7808219178082
2,AFTERNOON,2,STAFF,23,145,23.0,571.0344827586207
2,AFTERNOON,12,STAFF,24,174,24.0,496.55172413793105
2,AFTERNOON,11,STAFF,24,174,24.0,496.55172413793105
2,AFTERNOON,23,STAFF,24,124,24.0,696.7741935483871
2,AFTERNOON,8,SUB_CON,24,146,24.0,591.7808219178082
2,OVERTIME,59,SUB_CON,0,137,0.0,0.0
2,OVERTIME,16,SUB_CON,0,153,0.0,0.0
2,OVERTIME,47,SUB_CON,0,160,0.0,0.0
2,OVERTIME,23,STAFF,0,155,0.0,0.0
2,OVERTIME,21,SUB_CON,0,136,0.0,0.0
2,OVERTIME,27,SUB_CON,0,150,0.0,0.0
2,OVERTIME,28,STAFF,0,158,0.0,0.0
2,OVERTIME,39,STAFF,0,146,0.0,0.0
2,OVERTIME,2,STAFF,0,133,0.0,0.0
2,OVERTIME,65,SUB_CON,0,123,0.0,0.0
2,OVERTIME,35,SUB_CON,0,143,0.0,0.0
2,OVERTIME,35,STAFF,0,139,0.0,0.0
2,OVERTIME,22,SUB_CON,0,134,0.0,0.0
2,OVERTIME,39,SUB_CON,0,139,0.0,0.0
2,OVERTIME,43,STAFF,0,142,0.0,0.0
2,OVERTIME,27,STAFF,0,140,0.0,0.0
2,OVERTIME,20,SUB_CON,0,133,0.0,0.0
2,OVERTIME,29,STAFF,0,147,0.0,0.0
2,OVERTIME,37,SUB_CON,0,179,0.0,0.0
2,OVERTIME,20,STAFF,0,151,0.0,0.0
2,OVERTIME,25,STAFF,0,168,0.0,0.0
2,OVERTIME,46,SUB_CON,0,123,0.0,0.0
2,OVERTIME,40,STAFF,0,171,0.0,0.0
2,OVERTIME,33,SUB_CON,0,146,0.0,0.0
2,OVERTIME,7,SUB_CON,0,163,0.0,0.0
2,OVERTIME,28,SUB_CON,0,172,0.0,0.0
2,OVERTIME,9,SUB_CON,0,156,0.0,0.0
2,OVERTIME,45,SUB_CON,0,158,0.0,0.0
2,OVERTIME,41,SUB_CON,0,169,0.0,0.0
2,OVERTIME,63,SUB_CON,0,129,0.0,0.0
2,OVERTIME,18,STAFF,0,173,0.0,0.0
2,OVERTIME,53,SUB_CON,0,153,0.0,0.0
2,OVERTIME,5,SUB_CON,0,133,0.0,0.0
2,OVERTIME,8,STAFF,0,132,0.0,0.0
2,OVERTIME,21,STAFF,0,123,0.0,0.0
2,OVERTIME,14,SUB_CON,0,137,0.0,0.0
2,OVERTIME,1,SUB_CON,0,121,0.0,0.0
2,OVERTIME,25,SUB_CON,0,171,0.0,0.0
2,OVERTIME,43,SUB_CON,0,122,0.0,0.0
2,OVERTIME,24,SUB_CON,0,137,0.0,0.0
2,OVERTIME,32,SUB_CON,0,153,0.0,0.0
2,OVERTIME,69,SUB_CON,0,157,0.0,0.0
2,OVERTIME,31,SUB_CON,0,153,0.0,0.0
2,OVERTIME,17,STAFF,0,131,0.0,0.0
2,OVERTIME,19,STAFF,0,147,0.0,0.0
2,OVERTIME,49,STAFF,0,160,0.0,0.0
2,OVERTIME,68,SUB_CON,0,128,0.0,0.0
2,OVERTIME,2,SUB_CON,0,176,0.0,0.0
2,OVERTIME,4,SUB_CON,0,136,0.0,0.0
2,OVERTIME,48,SUB_CON,0,173,0.0,0.0
2,OVERTIME,5,STAFF,0,136,0.0,0.0
2,OVERTIME,46,STAFF,0,171,0.0,0.0
2,OVERTIME,47,STAFF,0,177,0.0,0.0
2,OVERTIME,67,SUB_CON,0,140,0.0,0.0
2,OVERTIME,72,SUB_CON,0,145,0.0,0.0
2,OVERTIME,33,STAFF,0,177,0.0,0.0
2,OVERTIME,44,STAFF,0,129,0.0,0.0
